date,county,fips,place,confirmed_cases,new_cases,x,y,population,two_week_lag
2020-03-16,Los Angeles,37,Santa Monica,1,1,-118.481816,34.023052,92446,0
2020-03-17,Los Angeles,37,Santa Monica,1,0,-118.481816,34.023052,92446,0
2020-03-18,Los Angeles,37,Santa Monica,3,2,-118.481816,34.023052,92446,0
2020-03-19,Los Angeles,37,Santa Monica,2,0,-118.481816,34.023052,92446,0
2020-03-20,Los Angeles,37,Santa Monica,4,2,-118.481816,34.023052,92446,0
2020-03-21,Los Angeles,37,Santa Monica,5,1,-118.481816,34.023052,92446,0
2020-03-22,Los Angeles,37,Santa Monica,7,2,-118.481816,34.023052,92446,0
2020-03-23,Los Angeles,37,Santa Monica,12,5,-118.481816,34.023052,92446,0
2020-03-24,Los Angeles,37,Santa Monica,16,4,-118.481816,34.023052,92446,0
2020-03-25,Los Angeles,37,Santa Monica,18,2,-118.481816,34.023052,92446,0
2020-03-26,Los Angeles,37,Santa Monica,21,3,-118.481816,34.023052,92446,0
2020-03-27,Los Angeles,37,Santa Monica,28,7,-118.481816,34.023052,92446,0
2020-03-28,Los Angeles,37,Santa Monica,38,10,-118.481816,34.023052,92446,0
2020-03-29,Los Angeles,37,Santa Monica,41,3,-118.481816,34.023052,92446,0
2020-03-30,Los Angeles,37,Santa Monica,47,6,-118.481816,34.023052,92446,1
2020-03-31,Los Angeles,37,Santa Monica,49,2,-118.481816,34.023052,92446,0
2020-04-01,Los Angeles,37,Santa Monica,53,4,-118.481816,34.023052,92446,2
2020-04-02,Los Angeles,37,Santa Monica,56,3,-118.481816,34.023052,92446,0
2020-04-03,Los Angeles,37,Santa Monica,62,6,-118.481816,34.023052,92446,2
2020-04-04,Los Angeles,37,Santa Monica,65,3,-118.481816,34.023052,92446,1
2020-04-05,Los Angeles,37,Santa Monica,68,3,-118.481816,34.023052,92446,2
2020-04-06,Los Angeles,37,Santa Monica,74,6,-118.481816,34.023052,92446,5
2020-04-07,Los Angeles,37,Santa Monica,77,3,-118.481816,34.023052,92446,4
2020-04-08,Los Angeles,37,Santa Monica,81,4,-118.481816,34.023052,92446,2
2020-04-09,Los Angeles,37,Santa Monica,81,0,-118.481816,34.023052,92446,3
2020-04-10,Los Angeles,37,Santa Monica,88,7,-118.481816,34.023052,92446,7
2020-04-11,Los Angeles,37,Santa Monica,90,2,-118.481816,34.023052,92446,10
2020-04-12,Los Angeles,37,Santa Monica,92,2,-118.481816,34.023052,92446,3
2020-04-13,Los Angeles,37,Santa Monica,92,0,-118.481816,34.023052,92446,6
2020-04-14,Los Angeles,37,Santa Monica,96,4,-118.481816,34.023052,92446,2
2020-04-15,Los Angeles,37,Santa Monica,98,2,-118.481816,34.023052,92446,4
2020-04-16,Los Angeles,37,Santa Monica,100,2,-118.481816,34.023052,92446,3
2020-04-17,Los Angeles,37,Santa Monica,107,7,-118.481816,34.023052,92446,6
